repetition,cache_bytes,cache_mib,layout,mode,workload,pass_index,cache_condition,requested_units,selected_instance_rows,logical_bytes,read_ms,wall_ms,p50_unit_ms,p95_unit_ms,max_unit_ms,storage_frames_per_second,file_reads,file_batch_reads,file_bytes,cache_hits,cache_misses,cache_evictions,value_digest
001,0,0.0,regular,full,random_ranges_contract,0,workload_first_pass_shared_process_cache,64,2048,139264,679.1628370000008,679.678125,5.427125,28.889042000000003,222.480791,,512,448,181037202,0,512,0,22eed604776c14ca9b08375c6d812b383c580f0bcc4fb64bc3f921d96c4d7120
001,0,0.0,regular,full,random_ranges_contract,1,workload_immediate_repeat_shared_process_cache,64,2048,139264,749.5598350000002,750.030542,5.382041,39.205416,169.206581,,512,448,181037202,0,512,0,22eed604776c14ca9b08375c6d812b383c580f0bcc4fb64bc3f921d96c4d7120
001,0,0.0,regular,full,sequential_contract_forward,0,workload_first_pass_shared_process_cache,1698,1187087,80721916,10354.144307999977,10522.328042,5.104792999999999,5.7091259999999995,230.609417,114736.66627208483,13659,11957,4857414205,0,13659,0,b021cb12a40e37e28466406b6aff96023c9bd85a524242b5d24d83f31719746e
001,0,0.0,regular,full,sequential_contract_forward,1,workload_immediate_repeat_shared_process_cache,1698,1187087,80721916,10261.03677300004,10427.519042,5.116663999999999,5.913707,142.662956,115777.77434011301,13659,11957,4857414205,0,13659,0,b021cb12a40e37e28466406b6aff96023c9bd85a524242b5d24d83f31719746e
001,0,0.0,regular,full,sequential_ui_forward,0,workload_first_pass_shared_process_cache,1698,1187087,28490088,3096.326367000007,3158.182917,1.718374,1.9329580000000002,27.934832999999998,383680.48428662214,5120,3418,784102020,0,5120,0,96d9ae52d98e3f544c9accc67b7f2acc8506daa6e5c3147b17d9a7c0c4735670
001,0,0.0,regular,full,sequential_ui_forward,1,workload_immediate_repeat_shared_process_cache,1698,1187087,28490088,3396.9847390000073,3458.932917,1.7325009999999998,1.9374580000000001,37.189041,349721.91260114976,5120,3418,784102020,0,5120,0,96d9ae52d98e3f544c9accc67b7f2acc8506daa6e5c3147b17d9a7c0c4735670
001,0,0.0,regular,full,sequential_ui_reverse,0,workload_first_pass_shared_process_cache,1698,1187087,28490088,3448.3215709999968,3509.89475,1.7841680000000002,2.07625,54.823459,344515.4332446686,5120,3418,784102020,0,5120,0,7a015f92bb3966c236ec8d43bb120b56847634356a809923c86a20f58f29ad5e
001,0,0.0,regular,full,sequential_ui_reverse,1,workload_immediate_repeat_shared_process_cache,1698,1187087,28490088,3357.15065200001,3418.689084,1.7407499999999998,1.95475,134.556541,353871.51878103934,5120,3418,784102020,0,5120,0,7a015f92bb3966c236ec8d43bb120b56847634356a809923c86a20f58f29ad5e
001,0,0.0,hybrid,full,random_frames_contract,0,workload_first_pass_shared_process_cache,128,128,8704,5892.178385000006,5894.349125,22.732041,100.55537500000001,786.0019169999998,,1920,1792,48070727,0,3072,0,2088661f75d94debeaef555365c9e793af09792fb6608d149414af8d76b42ecb
001,0,0.0,hybrid,full,random_frames_contract,1,workload_immediate_repeat_shared_process_cache,128,128,8704,171.94292300000006,172.196042,1.199249,2.225,3.306959,,1920,1792,48070727,0,3072,0,2088661f75d94debeaef555365c9e793af09792fb6608d149414af8d76b42ecb
001,0,0.0,hybrid,full,random_frames_ui,0,workload_first_pass_shared_process_cache,128,128,3072,2028.9008339999993,2030.773833,14.64571,30.652957,192.402875,,640,512,8105650,0,1152,0,05862f9493d6a8dbad4e24db20ad6263d3cf51fc266fc64ce3e3550f166ac06b
001,0,0.0,hybrid,full,random_frames_ui,1,workload_immediate_repeat_shared_process_cache,128,128,3072,88.17524700000003,88.44875,0.509209,1.8288749999999998,2.673042,,640,512,8105650,0,1152,0,05862f9493d6a8dbad4e24db20ad6263d3cf51fc266fc64ce3e3550f166ac06b
001,0,0.0,hybrid,full,random_ranges_contract,0,workload_first_pass_shared_process_cache,64,2048,139264,857.0610320000001,857.979583,3.042083,48.45845599999999,155.71016699999998,,960,896,23626630,0,1536,0,22eed604776c14ca9b08375c6d812b383c580f0bcc4fb64bc3f921d96c4d7120
